武将ID,武将,胜率,出场排名,禁用排名,出场得分,禁用得分,偏好得分,胜率系数,原始推荐指数,推荐分,评级,推荐排序,状态,异常原因
90,申不害,50.38%,15,50,0.91194969,0.69182390,1.25110557,0.55749456,0.35139272,68,A,33,有效,
91,陈阿娇,47.76%,61,128,0.62264151,0.20125786,0.76836359,0.49225062,0.18064143,33,C,67,有效,
92,霍去病,57.44%,2,21,0.99371069,0.87421384,1.42987619,0.71849327,0.59011353,100,S,5,有效,
93,刘彻,56.13%,26,9,0.84276730,0.94968553,1.28932795,0.69125647,0.50026216,98,S,10,有效,
94,卫青,51.82%,30,142,0.81761006,0.11320755,0.90243266,0.59266660,0.27715497,53,B,53,有效,
95,卫子夫,42.26%,69,101,0.57232704,0.37106918,0.77991772,0.35870253,0.11822592,20,C,107,有效,
96,董仲舒,49.80%,79,5,0.50943396,0.97484277,0.90367865,0.54314245,0.24443147,46,B,59,有效,
97,李广,38.59%,129,100,0.19496855,0.37735849,0.42313991,0.27928722,0.04560472,6,D,135,有效,
98,张骞,46.89%,55,45,0.66037736,0.72327044,0.99168150,0.47053418,0.21879814,41,B,61,有效,
99,芈八子,46.77%,71,134,0.55974843,0.16352201,0.70076342,0.46754569,0.15323672,28,C,75,有效,
100,钟无艳,54.01%,50,83,0.69182390,0.48427673,0.93590048,0.64428240,0.32567177,63,A,43,有效,
101,韩非,41.25%,35,32,0.78616352,0.80503145,1.16258851,0.33581507,0.16104608,29,C,105,有效,
102,郭隗,40.78%,123,37,0.23270440,0.77358491,0.53552866,0.32541421,0.07106675,11,D,122,有效,
103,孙坚,43.88%,100,132,0.37735849,0.17610063,0.54607808,0.39675607,0.09507032,16,D,98,有效,
104,吴国太,37.43%,113,69,0.29559748,0.57232704,0.56138207,0.25654579,0.05390676,7,D,131,有效,
105,黄盖,38.56%,132,74,0.17610063,0.54088050,0.43306831,0.27868376,0.04653772,6,D,134,有效,
106,曹丕,54.53%,28,7,0.83018868,0.96226415,1.27992168,0.65610851,0.45792522,89,S,15,有效,
107,夏侯惇,55.10%,25,65,0.84905660,0.59748428,1.14191290,0.66885257,0.42083803,82,S,19,有效,
108,曹仁,50.65%,56,1,0.65408805,1.00000000,1.08490566,0.56414458,0.31000011,59,B,45,有效,
109,张春华,43.82%,88,92,0.45283019,0.42767296,0.68249674,0.39532092,0.11822865,20,C,88,有效,
110,曹植,38.91%,97,52,0.39622642,0.67924528,0.69255963,0.28577362,0.07700883,12,D,118,有效,
111,徐晃,40.30%,121,97,0.24528302,0.39622642,0.47472410,0.31496681,0.06025750,9,D,128,有效,
112,张郃,44.26%,116,66,0.27672956,0.59119497,0.54594359,0.40588573,0.09807605,16,D,95,有效,
113,秦舞阳,36.37%,160,17,0.00000000,0.89937107,0.28993711,0.23685498,0.02497639,2,D,149,有效,
114,荆轲,36.37%,145,77,0.09433962,0.52201258,0.34737154,0.23685498,0.02992403,3,D,147,有效,
115,法正,55.36%,11,10,0.93710692,0.94339623,1.39765041,0.67458579,0.52195352,100,S,7,有效,
116,姜维,48.32%,127,105,0.20754717,0.34591195,0.42934615,0.50624967,0.10502659,18,D,92,有效,
117,吕不韦,55.26%,33,135,0.79874214,0.15723270,0.90495234,0.67238677,0.33624493,65,A,39,有效,
118,赵姬,43.01%,49,47,0.69811321,0.71069182,1.02801709,0.37613169,0.16630668,30,C,104,有效,
119,太史慈,44.52%,59,146,0.63522013,0.08805031,0.73935366,0.41217046,0.13567013,24,C,81,有效,
120,步练师,50.95%,103,108,0.35849057,0.32704403,0.56639373,0.57150643,0.16492396,30,C,72,有效,
